title,price_idr,duration,location,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,description,facilities,agent_name,updated_by,main_image,image_urls,url
Villa di Pererenan dekat Pantai dan Coffee Shop,Rp 520.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,0,0,,3 Bedroom Villa at Parerenan only few minutes walking to the beach and walking distance to many coffee shops around. 3 Bedrooms 3 Bathrooms Enclosed Living and Dining Area Kitchen Service area Bale bengong Swimming Pool Security Post Price IDR nett per year  -am-,,Gaia Property Bali,2026-02-23T08:42:23+07:00,https://apollo.olx.co.id/v1/files/68d22548ede2a-ID/image,https://apollo.olx.co.id/v1/files/68d22548ede2a-ID/image | https://apollo.olx.co.id/v1/files/68d22548e79b6-ID/image | https://apollo.olx.co.id/v1/files/68d22548f3bea-ID/image,https://www.olx.co.id/item/villa-di-pererenan-dekat-pantai-dan-coffee-shop-iid-929306262
Villa Pererenan - 3 Bedroom ensuite 3bathroom,Rp 27.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,250,200,,Villa Anastasya berlokasi di Kompleks L Village Villa Jalan Dalem Warung Tiying tutul. 3 Bedroom dengan private akses yang bisa langsung memarkir kendaraan didepan Villa. Villa Anasatasya dilengkapi dengan beberapa fasilitas tambahan yang membuat penghuni merasa nyaman untuk tinggal dalam janga waktu lama. Luas Tanah : 250 m2 Luas Bangunan : 220 m2 Fasilitas yang tersedia Private Pool Enclosed Living and Dining Room Kitchen dan peralatannya Laundry Area and Washing Machine Gazebo dan Kebun  Garase Price : / bulan harga /tahun nego,,Gaia Property Bali,2026-02-23T08:00:39+07:00,https://apollo.olx.co.id/v1/files/68d272f885f33-ID/image,https://apollo.olx.co.id/v1/files/68d272f885f33-ID/image | https://apollo.olx.co.id/v1/files/68d272f74745a-ID/image | https://apollo.olx.co.id/v1/files/68d272f75d8a7-ID/image | https://apollo.olx.co.id/v1/files/68d272f783d78-ID/image | https://apollo.olx.co.id/v1/files/68d272f528c3b-ID/image | https://apollo.olx.co.id/v1/files/68d272f9be7d4-ID/image | https://apollo.olx.co.id/v1/files/68d272fbc0812-ID/image | https://apollo.olx.co.id/v1/files/68d272f944d6c-ID/image | https://apollo.olx.co.id/v1/files/68d272f81cb75-ID/image | https://apollo.olx.co.id/v1/files/68d272fb08abb-ID/image | https://apollo.olx.co.id/v1/files/68d272fc6d79e-ID/image | https://apollo.olx.co.id/v1/files/68d272f94c550-ID/image | https://apollo.olx.co.id/v1/files/68d272fc488f5-ID/image,https://www.olx.co.id/item/villa-pererenan-3-bedroom-ensuite-3bathroom-iid-930611984
Disewakan: Vila Mewah 3 Kamar Tidur dengan Kolam Renang Tropis & Fasilitas Premium — Tumbak Bayuh Pererenan Bali,Rp 700.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,200,400,,Villa disewakan di Tumbak Bayuh Luas tanah: 200 m² Luas bangunan: 200 m² Jumlah kamar tidur: 3 Jumlah kamar mandi: 3 Ukuran kasur: 200x200 TV: ruang tamu Dapur: lengkap (full equipped) Brankas: 1 Ukuran kolam: 3x6 Sunbed: 2 Listrik: 16.500 watt Toilet tamu: 1 Ruang penyimpanan (storage): 1 Internet: MTM 200 Mbps Area parkir: 1 mobil + 3 motor Status perabot: fully furnished Tahun dibangun: 2025 Tipe ruang tamu: living tertutup Sofa: ada Sumber air: sumur bor artesis AC: 3 unit di kamar tidur AC di ruang tamu: 2 unit Hairdryer: akan disediakan Mesin cuci: ada SPY Harga Bulanan & Tahunan 70 juta IDR per bulan 700 juta IDR per tahun Termasuk: Asisten rumah tangga untuk bersih-bersih 3 kali seminggu Perawatan kolam & taman 2 kali seminggu WiFi kecepatan tinggi Biaya banjar Biaya sampah Tidak termasuk: listrik,,Harry HTR Property,2026-02-23T01:24:32+07:00,https://apollo.olx.co.id/v1/files/69273664bdb76-ID/image,https://apollo.olx.co.id/v1/files/69273664bdb76-ID/image | https://apollo.olx.co.id/v1/files/6927366429329-ID/image | https://apollo.olx.co.id/v1/files/69273664d4d7d-ID/image | https://apollo.olx.co.id/v1/files/692736641655e-ID/image | https://apollo.olx.co.id/v1/files/6927366493b36-ID/image | https://apollo.olx.co.id/v1/files/69273665ab095-ID/image | https://apollo.olx.co.id/v1/files/69273665001f1-ID/image | https://apollo.olx.co.id/v1/files/6927366503d94-ID/image | https://apollo.olx.co.id/v1/files/692736651c375-ID/image | https://apollo.olx.co.id/v1/files/692736666e2b0-ID/image | https://apollo.olx.co.id/v1/files/692736660856f-ID/image | https://apollo.olx.co.id/v1/files/692736678a9b2-ID/image | https://apollo.olx.co.id/v1/files/69273666472df-ID/image | https://apollo.olx.co.id/v1/files/6927366723549-ID/image | https://apollo.olx.co.id/v1/files/6927366772fb6-ID/image | https://apollo.olx.co.id/v1/files/692736683f1d6-ID/image | https://apollo.olx.co.id/v1/files/69273668b40a1-ID/image | https://apollo.olx.co.id/v1/files/69273668f1ef0-ID/image | https://apollo.olx.co.id/v1/files/69273668d8cc3-ID/image | https://apollo.olx.co.id/v1/files/69273668ebabf-ID/image,https://www.olx.co.id/item/disewakan-vila-mewah-3-kamar-tidur-dengan-kolam-renang-tropis-fasilitas-premium-tumbak-bayuh-pererenan-bali-iid-941066651
Villa Mediterranean di Umalas,Rp 63.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,250,0,,Available Now Brand New Mediterranean Villa with 3 Bedroom Private Pool Location in Umalas Bali very strategic location between Canggu Seminyak many other Restaurant in area villa and good access for motor and car. This villa have a good concept modern villa enclosed living room and double air conditioning. - Land size 250 sqm  - 3 Bedroom with King size  - 3 Bathroom (1 Bathub shower ; 2 Shower) - Closed Living Room Dining - Kitchen (microwave oven etc) - Lounge Room in 2nd floor - Private Garage - Pool Deck Area - Smart TV - electricity 7700 watt Price : - Monthly : IDR - Yearly : IDR -am- dewigayatri,,Gaia Property Bali,2026-02-22T23:01:09+07:00,https://apollo.olx.co.id/v1/files/68d1e2ceb1d69-ID/image,https://apollo.olx.co.id/v1/files/68d1e2ceb1d69-ID/image | https://apollo.olx.co.id/v1/files/68d1e2ce46b07-ID/image | https://apollo.olx.co.id/v1/files/68d1e2cec6bee-ID/image | https://apollo.olx.co.id/v1/files/68d1e2ce0f4aa-ID/image | https://apollo.olx.co.id/v1/files/68d1e2ce96b82-ID/image | https://apollo.olx.co.id/v1/files/68d1e2cfcfe97-ID/image | https://apollo.olx.co.id/v1/files/68d1e2cf9de03-ID/image,https://www.olx.co.id/item/villa-mediterranean-di-umalas-iid-926302547
Villa 3 Bedroom daerah Buwit Kaja Tabanan - Bali,Rp 7.500.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,540,250,,Villa Eksklusif di Buwit Kaja Tabanan  Berlokasi di kompleks villa tepi sungai dengan suasana asri dan tenang cocok untuk hunian pribadi maupun investasi jangka panjang. Detail Properti: - Luas Tanah: 540 m² - Luas Bangunan: 250 m² - Status: Sewa 29 Tahun - Harga: Rp 75 Miliar Spesifikasi: - 3 Kamar Tidur luas - 3 Kamar Mandi modern - Fully Furnished – siap huni - Carport / Garasi - Listrik 4.500 watt (bisa ditambah) - Sumber air deep well - Orientasi bangunan menghadap Tenggara - Akses jalan masuk villa 3 m jalan utama 5 m Lokasi strategis: - 10 menit ke Panatai Tanah Lot - 10 menit ke Pantai Nyanyi - 11 menit ke Pantai Cemagi - 10 menit ke Luna Beach Club - 15 menit ke La Brisa Beach Club - 20 menit ke Atlas Beach Club Kelebihan: Berada di kawasan villa eksklusif dengan pemandangan sungai yang menenangkan Lingkungan tenang privat dan aman Cocok untuk tempat tinggal jangka panjang atau sebagai investasi bernilai tinggi (ADP),,Harcourts 168,2026-02-22T22:55:24+07:00,https://apollo.olx.co.id/v1/files/68d34344eb3eb-ID/image,https://apollo.olx.co.id/v1/files/68d34344eb3eb-ID/image | https://apollo.olx.co.id/v1/files/68d34345a0440-ID/image | https://apollo.olx.co.id/v1/files/68d34344cea7c-ID/image | https://apollo.olx.co.id/v1/files/68d343443cc19-ID/image | https://apollo.olx.co.id/v1/files/68d343459857b-ID/image | https://apollo.olx.co.id/v1/files/68d34346b048a-ID/image | https://apollo.olx.co.id/v1/files/68d34345c942a-ID/image | https://apollo.olx.co.id/v1/files/68d34345b75f8-ID/image | https://apollo.olx.co.id/v1/files/68d34346c12c9-ID/image | https://apollo.olx.co.id/v1/files/68d3434609d7f-ID/image,https://www.olx.co.id/item/villa-3-bedroom-daerah-buwit-kaja-tabanan-bali-iid-938429913
Villa Mewah Area Strategis Dengan Harga Terjangkau Berawa Canggu,Rp 6.900.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,160,200,,TERBAIK UNTUK DIJUAL!!! Harga Terbaik Rp. 69 Miliar (hak milik) Sewa Rp. 450 juta/tahun Rumah Villa Baru yang Menakjubkan (Tahun 2024) di Berawa Canggu Bali Detail Luas Tanah : 160 m² Luas Bangunan : +/- 200 m² 3 kamar tidur (2 tempat tidur king size 1 tempat tidur queen size) 3 kamar mandi Kolam renang Taman Dapur Ruang tamu Ruang penyimpanan Area makan Area parkir 2 lantai Pemanas air 80 L Sumber air: sumur dalam 80 meter Listrik: 5500 W Sudah dilengkapi furnitur Properti dilengkapi dengan permohonan SLF SHM – Hak Milik,,Gus Surya (Billy),2026-02-22T19:47:08+07:00,https://apollo.olx.co.id/v1/files/6926b9ece1997-ID/image,https://apollo.olx.co.id/v1/files/6926b9ece1997-ID/image | https://apollo.olx.co.id/v1/files/6926b9ec1fea0-ID/image | https://apollo.olx.co.id/v1/files/6926b9ecb1c60-ID/image | https://apollo.olx.co.id/v1/files/6926b9ec25da7-ID/image | https://apollo.olx.co.id/v1/files/6926b9ec3b4d3-ID/image | https://apollo.olx.co.id/v1/files/6926b9ed405fc-ID/image | https://apollo.olx.co.id/v1/files/6926b9edb385a-ID/image | https://apollo.olx.co.id/v1/files/6926b9edb298c-ID/image | https://apollo.olx.co.id/v1/files/6926b9ed2b89c-ID/image | https://apollo.olx.co.id/v1/files/6926b9ed477b1-ID/image | https://apollo.olx.co.id/v1/files/6926b9eee247b-ID/image | https://apollo.olx.co.id/v1/files/6926b9eef248f-ID/image | https://apollo.olx.co.id/v1/files/6926b9ee66707-ID/image | https://apollo.olx.co.id/v1/files/6926b9ee30ecf-ID/image | https://apollo.olx.co.id/v1/files/6926b9ef68556-ID/image | https://apollo.olx.co.id/v1/files/6926b9f0028e4-ID/image | https://apollo.olx.co.id/v1/files/6926b9f03852e-ID/image | https://apollo.olx.co.id/v1/files/6926b9f0d5b39-ID/image | https://apollo.olx.co.id/v1/files/6926b9f0627ca-ID/image | https://apollo.olx.co.id/v1/files/6926b9f078ae0-ID/image,https://www.olx.co.id/item/villa-mewah-area-strategis-dengan-harga-terjangkau-berawa-canggu-iid-941053947
For lease New Guest House High Occupancy at Kayu Tulang- Canggu,Rp 4.950.000.000,,Disewakan: Rumah & Apartemen dalam Bali,5,5,350,270,,For lease New Guest House High Occupancy at Kayu Tulang- Canggu Land.350m2 build.270m2 Single storey 5 bedrooms with ensuites bathroom Pool 8 x 4m Fully furnished Open Kitchen area Parking area for motorbikes only Pondok Wisata Remain 23years Lease Price IDR 4.95 Billions,,Kori bali property sale and leased,2026-02-21T22:17:54+07:00,https://apollo.olx.co.id/v1/files/68eb929f4493b-ID/image,https://apollo.olx.co.id/v1/files/68eb929f4493b-ID/image | https://apollo.olx.co.id/v1/files/68eb929f88814-ID/image | https://apollo.olx.co.id/v1/files/68eb929f015de-ID/image | https://apollo.olx.co.id/v1/files/68eb929f5c82d-ID/image | https://apollo.olx.co.id/v1/files/68eb929f13531-ID/image | https://apollo.olx.co.id/v1/files/68eb92a082c69-ID/image | https://apollo.olx.co.id/v1/files/68eb92a104668-ID/image | https://apollo.olx.co.id/v1/files/68eb92a0151e4-ID/image | https://apollo.olx.co.id/v1/files/68eb92a012c97-ID/image | https://apollo.olx.co.id/v1/files/68eb92a1a1f19-ID/image | https://apollo.olx.co.id/v1/files/68eb92a25105a-ID/image,https://www.olx.co.id/item/for-lease-new-guest-house-high-occupancy-at-kayu-tulang-canggu-iid-939699589
Mediterranean Style Villa With 2 Bedroom Walking Distance To Seseh Beach For Rent,Rp 320.000.000.000,,Disewakan: Rumah & Apartemen dalam Bali,2,2,200,200,,Mediterranean Style Villa With 2 Bedroom Walking Distance To Seseh Beach For Rent Brand new Mediterranean-style villa located just a short walk from Seseh Beach. Ideal for private residence or as a daily rental investment. Property Details: 2 bedrooms 2 bathrooms with bathtub Enclosed kitchen and living area with sunken sofa Storage room Land size: 200 sqm (2 are) Fully furnished Private swimming pool Car parking area Pink zone Available for Yearly Rent Price: IDR 320 Million /year For more information or to arrange a viewing please contact: Fitri,,RE/MAX JAYA CANGGU,2026-02-21T13:12:57+07:00,https://apollo.olx.co.id/v1/files/695f1c52b61da-ID/image,https://apollo.olx.co.id/v1/files/695f1c52b61da-ID/image | https://apollo.olx.co.id/v1/files/695f1c515d7e8-ID/image | https://apollo.olx.co.id/v1/files/695f1c51c6fdf-ID/image | https://apollo.olx.co.id/v1/files/695f1c517b4e0-ID/image | https://apollo.olx.co.id/v1/files/695f1c52276e6-ID/image | https://apollo.olx.co.id/v1/files/695f1c53df07f-ID/image | https://apollo.olx.co.id/v1/files/695f1c5205782-ID/image | https://apollo.olx.co.id/v1/files/695f1c53e2eb8-ID/image | https://apollo.olx.co.id/v1/files/695f1c539f3f2-ID/image | https://apollo.olx.co.id/v1/files/695f1c5398e22-ID/image,https://www.olx.co.id/item/mediterranean-style-villa-with-2-bedroom-walking-distance-to-seseh-beach-for-rent-iid-942141707
Disewakan villa lantai 1 lokasi kayutulang utara canggu,Rp 325.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,300,250,,NEW VILLA  Disewakan villa lantai 1 lokasi kayutulang utara canggu LuaS tanah 3 are 3 kamar tidur 3 kamar mandi Dapur  Living room Kolam renang Full furnished Garasi Kebun besar Listrik Jalan 4 meter Harga IDR 325 juta/tahun Nego,,Master Jasindo,2026-02-21T10:21:54+07:00,https://apollo.olx.co.id/v1/files/68d144562d369-ID/image,https://apollo.olx.co.id/v1/files/68d144562d369-ID/image | https://apollo.olx.co.id/v1/files/68d144570088f-ID/image | https://apollo.olx.co.id/v1/files/68d1445739e69-ID/image | https://apollo.olx.co.id/v1/files/68d144572eaf6-ID/image | https://apollo.olx.co.id/v1/files/68d144598f4ea-ID/image | https://apollo.olx.co.id/v1/files/68d14457193e2-ID/image | https://apollo.olx.co.id/v1/files/68d144597753c-ID/image,https://www.olx.co.id/item/disewakan-villa-lantai-1-lokasi-kayutulang-utara-canggu-iid-930159487
3BR tranquil luxury villa for yearly rent in Tanah Lot Tabanan,Rp 650.000.000,,Disewakan: Rumah & Apartemen dalam Bali,4,4,350,300,,Located in Beraban Tabanan the south west of Bali this villa is a 20-minute drive from the trendy seaside town of Canggu. Sits on 350sqm of land the enchanting property is imbedded in stunning views of the surrounding rice fields. Situated in a peaceful location less than 10-minute drive to the scared and iconic attraction Tanah Lot Temple this villa is the perfect place to escape the hustle-bustle of everyday life and experience the serenity and tranquility of nature. Consisting of three air-conditioned ensuite rooms with an outdoor veranda overlooking the picturesque rice fields lush tropical vegetation ocean and mountain from distance. This second storey features rooms with their own individual outdoor verandahs. Each room has access to a private balcony or verandah. These spaces offer a cozy spot for enjoying the outdoors whether its for morning coffee stargazing or simply unwinding. This villa combines comfort functionality and outdoor living spaces. Its a delightful place to reside especially with its private infinity pool that overlooks onto the vast rice fields which equipped with sunbeds and surrounded by the wooden deck. Designed with an elegant architectural concept with a mix of traditional contemporary aesthetic and the modern facilities this villa seamlessly merges with its surroundings creating a tranquil and comfortable ambiance from the moment you arrived. The architecture employs high-quality materials resulting in warm unpretentious and modern spaces. The high ceilings and large glass doors and floor-to-ceiling windows serve as portals to the beauty outdoors enhancing the connection between indoor and outdoor spaces. The natural black tones ceramic flooring strong wood natural timbers and the domination of teak wood furnishings create a pleasant and eco-friendly ambiance too. It seems in the entire villa at indoor and outdoor spaces and the local art touches add its charm. Every corner of the villa is thoughtfully curated creating a peaceful and stylish atmosphere. The spacious and bright living room is adorned with luxurious furniture offers unparalleled view of rice fields and natural surroundings. A fully equipped kitchen and cooking facilities cater to guests who wish to indulge in culinary pursuits. The elegant dining area provides a homey ambiance it has a nice setting to enjoy the meals with family/friends. This villa boasts not only a visual delight but also equipped with modern amenities to enhance the overall guest experience. An ideal destination home in the island of paradise Bali! SPECIFICATIONS: Land size: 350m2 with Building size: 300m2 3+1 Bedrooms 4+1 Bathrooms 2 Living rooms Dining room Fully equipped kitchen Billiard table Swimming pool with sundeck Garden Garage Storage Electricity: 11000 watt Access road: 6 meters North oriented Fully furnished Location: Beraban Kediri Tabanan Bali,,DEVATA AGUNG PROPERTY,2026-02-21T08:20:18+07:00,https://apollo.olx.co.id/v1/files/68ce1e6fd4d79-ID/image,https://apollo.olx.co.id/v1/files/68ce1e6fd4d79-ID/image | https://apollo.olx.co.id/v1/files/68ce1e71d3acb-ID/image | https://apollo.olx.co.id/v1/files/68ce1e71480b0-ID/image | https://apollo.olx.co.id/v1/files/68ce1e7129989-ID/image | https://apollo.olx.co.id/v1/files/68ce1e6f82a58-ID/image | https://apollo.olx.co.id/v1/files/68ce1e72d61be-ID/image | https://apollo.olx.co.id/v1/files/68ce1e74cce9b-ID/image | https://apollo.olx.co.id/v1/files/68ce1e7233c21-ID/image | https://apollo.olx.co.id/v1/files/68ce1e749a38a-ID/image | https://apollo.olx.co.id/v1/files/68ce1e74db5dc-ID/image | https://apollo.olx.co.id/v1/files/68ce1e746410f-ID/image | https://apollo.olx.co.id/v1/files/68ce1e74b9c90-ID/image | https://apollo.olx.co.id/v1/files/68ce1e76a3170-ID/image | https://apollo.olx.co.id/v1/files/68ce1e7542647-ID/image | https://apollo.olx.co.id/v1/files/68ce1e7545c4b-ID/image | https://apollo.olx.co.id/v1/files/68ce1e774f59b-ID/image,https://www.olx.co.id/item/3br-tranquil-luxury-villa-for-yearly-rent-in-tanah-lot-tabanan-iid-928641265
Rumah baru di daerah Kerobokan Kaja dekat ke Gatsu Barat dan dalung,Rp 290.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,4,165,210,,Rumah style villa.do area Kerobokan kaja dan dalung  Luas tanah 165m2  Luas bangunan 210m2 3500 watt  Air sumur bor  Hadap Utara  Akses 4 mtr,,Garam Property - Yanti,2026-02-21T02:30:58+07:00,https://apollo.olx.co.id/v1/files/68cb106765b36-ID/image,https://apollo.olx.co.id/v1/files/68cb106765b36-ID/image | https://apollo.olx.co.id/v1/files/68cb10672663c-ID/image | https://apollo.olx.co.id/v1/files/68cb1068c6b0c-ID/image | https://apollo.olx.co.id/v1/files/68cb106712f0a-ID/image | https://apollo.olx.co.id/v1/files/68cb10671c34b-ID/image | https://apollo.olx.co.id/v1/files/68cb10685e332-ID/image | https://apollo.olx.co.id/v1/files/68cb1068901a1-ID/image | https://apollo.olx.co.id/v1/files/68cb106869b5c-ID/image | https://apollo.olx.co.id/v1/files/68cb1068b3759-ID/image | https://apollo.olx.co.id/v1/files/68cb106857b6e-ID/image | https://apollo.olx.co.id/v1/files/68cb106866b55-ID/image | https://apollo.olx.co.id/v1/files/68cb10692baf9-ID/image | https://apollo.olx.co.id/v1/files/68cb106902563-ID/image | https://apollo.olx.co.id/v1/files/68cb106953618-ID/image | https://apollo.olx.co.id/v1/files/68cb10692688e-ID/image | https://apollo.olx.co.id/v1/files/68cb106952da3-ID/image | https://apollo.olx.co.id/v1/files/68cb10694751e-ID/image | https://apollo.olx.co.id/v1/files/68cb1069b51f0-ID/image,https://www.olx.co.id/item/rumah-baru-di-daerah-kerobokan-kaja-dekat-ke-gatsu-barat-dan-dalung-iid-930132671
3 Bedroom Villa for rent in Berawa Bali,Rp 25.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,300,250,,HOT DEAL: Newly Renovated Balinese Tropical Villa in Prime Berawa – READY NOW!   PRIME LOCATION: 6 mins to Berawa Beach | 8 mins to Canggu Beach. Near to trendy cafes gyms and Padel courts.   THE RATES: Yearly: IDR 300 Million (Best Value) Monthly: IDR 38 Million (Incl. WiFi Cleaning 3x/wk Pool/Garden Banjar & Garbage) Daily: IDR 2.5 Million   THE VILLA: 3 En-suite Bedrooms + 3 Bathrooms Private Pool & Tropical Garden Open-plan Living Room (Tropical Vibes) Full Kitchen Set | Land: 300 sqm | Private Parking Ready for immediate move-in. Exclude (Monthly): Electricity Gas Drinking Water.,,FazWaz Bali,2026-02-20T18:23:12+07:00,https://apollo.olx.co.id/v1/files/6998441bb22c2-ID/image,https://apollo.olx.co.id/v1/files/6998441bb22c2-ID/image | https://apollo.olx.co.id/v1/files/6998441b50c9c-ID/image | https://apollo.olx.co.id/v1/files/6998441c6090e-ID/image | https://apollo.olx.co.id/v1/files/6998441bbff9f-ID/image | https://apollo.olx.co.id/v1/files/6998441b49071-ID/image | https://apollo.olx.co.id/v1/files/6998441c24e3e-ID/image | https://apollo.olx.co.id/v1/files/6998441d05f5e-ID/image | https://apollo.olx.co.id/v1/files/6998441d5f568-ID/image | https://apollo.olx.co.id/v1/files/6998441df2ff4-ID/image | https://apollo.olx.co.id/v1/files/6998441d5439c-ID/image | https://apollo.olx.co.id/v1/files/6998441e2610a-ID/image | https://apollo.olx.co.id/v1/files/6998441e6848e-ID/image | https://apollo.olx.co.id/v1/files/6998441e49854-ID/image | https://apollo.olx.co.id/v1/files/6998441e49505-ID/image | https://apollo.olx.co.id/v1/files/6998441e0f0d1-ID/image | https://apollo.olx.co.id/v1/files/6998441fe8e51-ID/image | https://apollo.olx.co.id/v1/files/69984420018a9-ID/image,https://www.olx.co.id/item/3-bedroom-villa-for-rent-in-berawa-bali-iid-943284811
2 Bedroom Villa for rent in Kerobokan Bali,Rp 31.250.000,,Disewakan: Rumah & Apartemen dalam Bali,2,2,135,100,,Here is the high-end luxury version with enclosed living as requested: Casa De Fierro – Luxury 2 Bedroom Private Villa in Jl. Kerobokan Experience refined tropical living at Casa De Fierro an exclusive two-bedroom private villa nestled in the prestigious area of Jl. Kerobokan. Thoughtfully designed with sophistication and comfort in mind this elegant residence offers a serene sanctuary just moments from Bali’s most fashionable dining shopping and beach destinations. Behind its private entrance the villa reveals a beautifully curated interior where contemporary design meets timeless elegance. The fully enclosed air-conditioned living and dining area provides year-round comfort and privacy featuring expansive glass doors that frame views of the pool and garden while allowing natural light to fill the space. This seamless connection to the outdoors creates a tranquil yet luxurious ambiance. The designer kitchen is fully equipped with premium appliances sleek cabinetry and refined finishes — perfect for intimate dinners or entertaining guests in style. Both bedrooms are generously proportioned and serve as private retreats complete with en-suite bathrooms high-quality fixtures and carefully selected materials that enhance the villa’s modern aesthetic. Each space has been crafted to deliver comfort privacy and understated luxury. Step outside to your private swimming pool surrounded by lush tropical landscaping offering a peaceful setting for relaxation sunbathing or evening cocktails under the Bali sky. Villa Highlights: 2 luxurious bedrooms with elegant en-suite bathrooms Fully enclosed air-conditioned living and dining area Private swimming pool Enclosed living and full equiped kitchen Secure and private setting Prime location in Jl. Kerobokan minutes to Seminyak and Canggu Casa De Fierro is ideal for discerning guests or investors seeking an upscale property that blends privacy comfort and prime location in one of Bali’s most desirable neighborhoods.,,FazWaz Bali,2026-02-20T18:21:22+07:00,https://apollo.olx.co.id/v1/files/699843ac2bec9-ID/image,https://apollo.olx.co.id/v1/files/699843ac2bec9-ID/image | https://apollo.olx.co.id/v1/files/699843acc0d0f-ID/image | https://apollo.olx.co.id/v1/files/699843ad28071-ID/image | https://apollo.olx.co.id/v1/files/699843aca75fb-ID/image | https://apollo.olx.co.id/v1/files/699843acd63eb-ID/image | https://apollo.olx.co.id/v1/files/699843aec5c31-ID/image | https://apollo.olx.co.id/v1/files/699843ae9e2b6-ID/image | https://apollo.olx.co.id/v1/files/699843ae57df0-ID/image | https://apollo.olx.co.id/v1/files/699843aea50d9-ID/image | https://apollo.olx.co.id/v1/files/699843afe77cb-ID/image | https://apollo.olx.co.id/v1/files/699843afd9699-ID/image | https://apollo.olx.co.id/v1/files/699843af9abaf-ID/image | https://apollo.olx.co.id/v1/files/699843b064730-ID/image | https://apollo.olx.co.id/v1/files/699843aff073d-ID/image | https://apollo.olx.co.id/v1/files/699843b0bd32c-ID/image | https://apollo.olx.co.id/v1/files/699843b0215cc-ID/image | https://apollo.olx.co.id/v1/files/699843b1a1776-ID/image | https://apollo.olx.co.id/v1/files/699843b10c5b8-ID/image | https://apollo.olx.co.id/v1/files/699843b26b869-ID/image | https://apollo.olx.co.id/v1/files/699843b2531d9-ID/image,https://www.olx.co.id/item/2-bedroom-villa-for-rent-in-kerobokan-bali-iid-943284791
Elegant Modern Villa With Private Pool In Seseh,Rp 320.000.000,,Disewakan: Rumah & Apartemen dalam Bali,2,3,200,200,,Elegant Modern Villa With Private Pool In Seseh Property Details: 2 bedrooms 2 bathrooms Enclosed kitchen and living room 1 guest toilet Storage room Land size: 200 m² (2 are) Fully furnished Private swimming pool Car parking area Bathtub Located in a yellow zone area Available for yearly rent. Price: IDR 320 million /year For more information or to schedule a viewing please contact: Fitri,,RE/MAX JAYA CANGGU,2026-02-20T16:02:11+07:00,https://apollo.olx.co.id/v1/files/695e0ce27c12c-ID/image,https://apollo.olx.co.id/v1/files/695e0ce27c12c-ID/image | https://apollo.olx.co.id/v1/files/695e0ce272c9e-ID/image | https://apollo.olx.co.id/v1/files/695e0ce23347d-ID/image | https://apollo.olx.co.id/v1/files/695e0ce149e8a-ID/image | https://apollo.olx.co.id/v1/files/695e0ceb93556-ID/image | https://apollo.olx.co.id/v1/files/695e0cedbe4a1-ID/image | https://apollo.olx.co.id/v1/files/695e0ce3d85b3-ID/image | https://apollo.olx.co.id/v1/files/695e0ce31fabd-ID/image | https://apollo.olx.co.id/v1/files/695e0ce9e30bf-ID/image | https://apollo.olx.co.id/v1/files/695e0ce482342-ID/image | https://apollo.olx.co.id/v1/files/695e0ce987bde-ID/image,https://www.olx.co.id/item/elegant-modern-villa-with-private-pool-in-seseh-iid-942123985
DISEWAKAN RUMAH 2 LANTAI LUAS - BISA RESIDENTIAL & OFFICE,Rp 65.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,2,109,178,SHM - Sertifikat Hak Milik,Disewakan rumah 2 lantai area tenang dan aman bebas banjir. Bisa untuk hunian/kantor. Utamakan sewa jangka panjang. Harga bisa NEGO,,Herman,2026-02-20T13:17:39+07:00,https://apollo.olx.co.id/v1/files/6997f1e39801a-ID/image,https://apollo.olx.co.id/v1/files/6997f1e39801a-ID/image | https://apollo.olx.co.id/v1/files/6997f2612722d-ID/image | https://apollo.olx.co.id/v1/files/6997f27117f45-ID/image | https://apollo.olx.co.id/v1/files/6997f28480825-ID/image | https://apollo.olx.co.id/v1/files/6997f2a0bd341-ID/image,https://www.olx.co.id/item/disewakan-rumah-2-lantai-luas-bisa-residential-office-iid-943275384
