title,price_idr,duration,location,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,description,facilities,agent_name,updated_by,main_image,url
Villa Modern Eksklusif 2 Kamar Tidur Disewakan di Nusa Dua Area,Rp 300.000.000,year,Badung,,3,,,,Disewakan Villa Modern 2 Kamar Tidur di Jimbaran Nusa Dua Bali Disewakan Townhouse Villa Eksklusif dengan konsep modern minimalis yang mengutamakan kenyamanan dan ketenangan. Berlokasi di area premium Nusa Dua cocok untuk hunian pribadi maupun sewa jangka panjang. Villa dirancang dengan tata ruang terbuka pencahayaan alami maksimal serta nuansa tropis yang menyatu dengan alam. Lokasi berada di area tenang dan tidak langsung menghadap jalan utama memberikan privasi lebih tanpa mengorbankan akses ke fasilitas utama. Spesifikasi Properti: Luas Tanah 108 m² Luas Bangunan 1693 m² Lantai 2 Lantai Kamar Tidur 2 Kamar Kamar Mandi 2 + 1 Powder Room Kolam Renang 1 Unit Carport 1 Mobil + 1 Motor Pool + Deck Size 22 m² Sertifikat SHM dan IMB Lengkap Listrik 13.200 KVA AC 4 Unit Kamar mandi ensuite dengan rainfall shower Dry garden di area kamar mandi Built-in wardrobe dan integrated storage Desain open space dengan pencahayaan alami maksimal Akses ke: 4 Menit Ke Puja Mandala 9 Menit Ke Hotel Apurva Kempinski Bali 9 Menit Ke Tol Bali Mandara 14 Menit ke Pantai Nusa Dua 15 Menit ke Pantai Pandawa 25 Menit ke Bandara I Gusti Ngurah Rai Keterangan Sewa: Termasuk: Pembersihan kolam 1x per minggu Tidak termasuk: Listrik air internet dan TV kabel Security Deposit Required Cleaning service tersedia (biaya tambahan) Harga Sewa Rp. 300 Juta / Tahun (Nego) Bagi yang berminat dengan property ini dapat menghubungi Yoel: 0821xxxxxxxx,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/38769/776cf14daee56115a8a26d578e8b3c83.png,https://www.rumah123.com/properti/badung-nusa-dua/villa-modern-eksklusif-2-kamar-tidur-disewakan-di-nusa-dua-area-vlr229013/
Yearly Rental: Cozy Rustic Style Villa In Jimbaran,Rp 165.000.000,year,Yearly Rental: Cozy Rustic Style Villa In Jimbaran | vlr228031,2,2,,,,This villa ideal for residence or investment. Located in a residential complex very close to shopping centers hospitals and international schools. Land: 200 m2 2 bedrooms 2 bathrooms with bathtub and water heater Open kitchen & living room Pool Carport Wifi General cleaning 1 time per week Available on 03 April 2026 Monthly / yearly rental price are negotiable,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1605825/9ce1cc1ed696788fabe6811429b79c46.jpg,https://www.rumah123.com/properti/badung-jimbaran/monthly-or-yearly-rental-cozy-rustic-style-villa-in-jimbaran-vlr228031/
Modern Two-Bedroom Villa Featuring A Private Swimming Pool.,Rp 1.000.000.000,year,Badung,2,3,,,,Two-Bedroom Villa with Private Pool - Sanur Modern two-bedroom villa featuring a private swimming pool. 2 bedrooms 3 bathrooms Leasehold: 9 years (valid until January 2035) Land size: 110 sqm Building size: 120 sqm Private swimming pool Carport Location: Situated in a safe and quiet area on Jalan Bajangsari Sanur. 3 km to Sanur Beach & ICON Mall 2 km to International School Asking Price: IDR 1000000000 Ideal for residence or investment.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/12485/b722894cf0f5691ca7bbe57830d85e2a.jpg,https://www.rumah123.com/properti/denpasar-sanur/modern-twobedroom-villa-featuring-a-private-swimming-pool-vlr230151/
Villa Joglo 2 Kamar Full Furnished Dekat Green School Sibang Kaja,Rp 25.000.000,month,Badung,2,1,,,,Hadirkan keseimbangan hidup yang menyatu dengan alam Bali melalui hunian berkonsep Joglo tradisional ini. Berlokasi sangat strategis di kawasan Sibang Kaja Badung properti ini hanya berjarak beberapa menit dari sekolah internasional ternama Green School Bali. Sangat direkomendasikan untuk keluarga ekspatriat orang tua murid Green School atau profesional yang mendambakan lingkungan asri tenang dan ruang terbuka hijau yang maksimal. Terdapat total 4 unit Joglo di dalam satu kompleks yang asri. Spesifikasi Detail Per Unit Joglo: Dimensi Bangunan: 12 x 10 Meter (Desain kayu solid yang sejuk dan sirkulasi udara sangat baik) Kamar Tidur: 2 Kamar Kondisi: Fully Furnished (Perabotan lengkap rapi dan siap huni) Taman/Halaman: Taman tropis yang sangat luas memberikan area bermain anak atau bersantai yang memadai. Kapasitas Parkir: Area parkir komunal yang sangat lega untuk mobil dan motor penghuni.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1756935/8d37dec0cb7154b0fe8571cba2e815ea.jpg,https://www.rumah123.com/properti/badung-sibang-kaja/villa-joglo-2-kamar-full-furnished-dekat-green-school-sibang-kaja-vlr234415/
Disewakan Villa / Freehold & Leasehold Mewah Bali,Rp 300.000.000,year,Badung,3,4,,,,Di Jual/Sewakan Villa / Freehold & Leasehold Badung Bali Luas Tanah: 260 Are / 260m2 Luas Bangunan: 200m2 Sertifikat Hak Milik SLF / IMB Full Furnish Kamar Tidur: 3 Kamar Mandi: 4 Kolam Renang Kebun Rooftop Air Sumur Bor Listrik: 5500 Watt Akses Jalan: 5 Meter Harga Jual: 26 M Harga Sewa: 300 / Tahun,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1991405/053fd4ed8dbe7d845646412bdfea7255.jpg,https://www.rumah123.com/properti/denpasar-denpasar-selatan/disewakan-villa-freehold-leasehold-mewah-bali-vlr234469/
Two-Bedroom Villa With Private Pool - Sanur,Rp 1.000.000.000,year,Two-Bedroom Villa With Private Pool - Sanur | vlr220668,2,3,,,,Two-Bedroom Villa with Private Pool - Sanur Modern two-bedroom villa featuring a private swimming pool. 2 bedrooms 3 bathrooms Leasehold: 9 years (valid until January 2035) Land size: 110 sqm Building size: 120 sqm Private swimming pool Carport Location: Situated in a safe and quiet area on Jalan Bajangsari Sanur. 3 km to Sanur Beach & ICON Mall 2 km to International School Asking Price: IDR 1000000000 Ideal for residence or investment.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/12485/ffb36b90764be22c403e0ee8ea1e8d8a.jpg,https://www.rumah123.com/properti/denpasar-sanur/twobedroom-villa-with-private-pool-sanur-vlr220668/
Disewakan Brand New Villa Ocean View Mengening Beach Cemagi,Rp 320.000.000,year,Badung,,3,,,,DISEWAKAN BRAND NEW VILLA EXCLUSIVE DI BALI Lokasi : Jl Umalalang Pantai Mengening - Cemagi Detail Aset : - Luas Tanah : 140m2 / 14 Acre - ⁠Luas Bangunan : 177 m2 - ⁠Topologi Aset : Tanah Datar - ⁠Status Aset : Residensial / Perumahan - ⁠Zonasi Aset : Yellow / Kuning - ⁠Legal Aset : SHM on Hand Kelebihan : - Area bebas banjir - ⁠Akses lokasi 8 Meter - ⁠5 Menit ke Nuanu City Kedungu - ⁠1 Menit ke Mengening Beach - ⁠10 Menit ke Pantai Pererenan - ⁠1 Jam 30 Menit ke Bandara Internasional Ngurah Rai Harga Aset : Rp 3900xxxxxxxx Tahun Rp 320.000.xxx / Tahun Leasehold Negotiable Kode : VLAN-BBP001 Info lebih lanjut dan survey appointment hubungi kami : +62877xxxxxxxx Marketing propertybalibarong@********,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1707799/687a5a103cfc05eedf770b2b9481a49b.png,https://www.rumah123.com/properti/badung-cemagi/disewakan-brand-new-villa-ocean-view-mengening-beach-cemagi-vlr234667/
Villa Komersial 9 Kamar Kolam Renang 5X8 Dekat Pantai Disewakan,Rp 500.000.000,year,Badung,9,9,300 m²,400 m²,Lainnya,Villa komersial strategis disewakan dekat pantai hanya sekitar 700 meter dari pantai atau sekitar 10 menit berjalan kaki. Properti ini sangat cocok dijadikan guest house homestay villa rental atau boutique hotel karena memiliki banyak kamar dengan fasilitas lengkap. Spesifikasi Properti: Luas Tanah: 300 m² Dimensi Tanah: 21 x 14 meter Luas Bangunan: ±400 m² Fasilitas: 9 kamar tidur dengan 9 kamar mandi dalam Water heater di setiap kamar Full furnished Kolam renang 5 x 8 meter Area lobby luas (bisa difungsikan sebagai restoran / café) Kitchen 1 toilet umum 1 kamar staff / security Ruang staff ukuran 4 x 25 meter 2 meteran listrik masing-masing 7.700 watt Air sumur bor Lokasi sangat potensial untuk bisnis akomodasi wisata karena dekat pantai dan berada di area yang berkembang pesat. Harga Sewa: Rp 500 juta / tahun (nego) Minimal sewa: 2 tahun,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2098658/c614d521fb46eb386a970c478ff45b64.jpg,https://www.rumah123.com/properti/badung-canggu/villa-komersial-9-kamar-kolam-renang-5x8-dekat-pantai-disewakan-hor41216441/
Charming 3-Bedroom Fully Furnished Villa Ready To Move In. Located In A Quiet And Strategic Area Of Canggu Near Supermarkets Cafés Restaurants Schools And The Beach. | Lv 294,Rp 285.000.000,year,Badung,3,3,200 m²,215 m²,Lainnya,******** Villa Information : IMB Quiet and secure area Security deposit 10% required Fully furnished Enclosed living room Kitchen fully equipped A two floor building with 3 ensuit bedrooms 2 minutes drive to shops and restaurants 10 minutes drive to beach Outdoor : Water Pump Small Garden Balcony Parking space Water tower Outdoor shower Water pump Swimming pool 7×3 m Sunbed Living room : Couch Flat TV Air con Ceiling fan Enclosed living room Kitchen : Fully Equipped Kitchen Dining Table Refrigerator Water Dispenser Stove Microwave Oven Water dispenser Washing machine Bedroom : Air con Bed Console table Wardrobe Bathroom : Bathtub in the master bedroom Toilet Shower Hot water,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/696941/33c7058c533543eed25d0273eca4a017.jpg,https://www.rumah123.com/properti/badung-canggu/charming-3bedroom-fully-furnished-villa-ready-to-move-in-located-in-a-quiet-and-strategic-area-of-canggu-near-hor40383914/
Brand New 3 Bedrooms Villa Full Furnished For Rent At Kuta Area,Rp 550.000.000,year,Badung,3,3,,,,For Rent Brand New 3 Bedrooms Villa at Kuta 2 mins to Gusto Gelato & Caffee 6 mins to Starbucks Reserve Dewata 8 mins to Pantai Seminyak Land size: 150 m2 Building size: 250 m2 Bedrooms: 3 Bathroom: 3 bathrooms & 1 powder room Living room: indoor fully air conditioned Kitchen: 1 kitchen full set Swimming Pool Electricity: 7.700 KVA Parking Space: 1 car Furnishing: Fully Furnished Including: Fast internet cleaning pool cleaning security fee Excluding electricity Price for yearly RP. 550 Million Bagi yang berminat dengan property ini dapat menghubungi Grace: 0813xxxxxxxx,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/38769/c9af14324a19e728e4f7b25971129ee6.jpg,https://www.rumah123.com/properti/badung-kuta/brand-new-3-bedrooms-villa-full-furnished-for-rent-at-kuta-area-vlr201899/
Disewakan Villa 3 Kamar Tidur Area Kerobokan Kelod,Rp 240.000.000,year,Disewakan Villa 3 Kamar Tidur Area Kerobokan Kelod | vlr202141,,3,,,,Villa yang nyaman baru direnovasi dan terawat dengan baik ini terletak di area Kerobokan Kelod yang tenang dan aman menjadikannya rumah ideal untuk keluarga dan penduduk jangka panjang. Terletak di ujung gang dengan lalu lintas yang sangat sedikit dan perpaduan yang baik antara penduduk lokal dan ekspatriat. Ini adalah area perumahan yang tenang (bukan zona liburan atau pesta) menawarkan privasi dan kebisingan minimal. Akses mudah ke Seminyak (10 menit) Berawa (15 menit) Batu Bolong (18 menit). Akses mudah ke supermarket klinik kafe dan kebutuhan sehari-hari. Sekolah internasional terdekat: - Sunrise - dapat ditempuh dengan berjalan kaki - BCS - 1 menit - Morphoo School - 3 menit - Bhumi Bali School - 5 menit - SLK - 6 menit - Lollypop Preschool - 6 menit - Umalas Kids Club - 9 menit - French School - 9 menit - ProEd Umalas - 12 menit - Canggu Community School - 13 menit - Highscope Indonesia Bali - 15 menit Detail Properti: - Luas tanah 250m2 - Luas bangunan 200m2 - Dua lantai - Dapur baru dan lengkap termasuk area pelayan semi-terbuka untuk memungkinkan panas dari memasak keluar - Ruang tamu dan ruang makan terbuka tetapi dengan kasa nyamuk di semua bukaan - AC di semua kamar tidur - Kipas angin dinding di seluruh ruangan - 3 kamar tidur masing-masing dengan kamar mandi dalam. 1 kamar disiapkan untuk anak-anak dengan tempat tidur single dan meja belajar. - Kamar mandi tamu - Kolam renang pribadi - Taman kecil - Parkir sepeda motor tercover berbagi dengan vila tetangga - Wi-Fi Starlink kelas bisnis - CCTV real-time di gang dan pintu masuk mudah diakses melalui aplikasi di ponsel Anda - Tata letak fungsional dengan ruang dan penyimpanan yang luas - Perawatan kolam dan taman 3 kali seminggu Villa ini berperabot lengkap dan tersedia sekarang. Harga sewa: - Bulanan: 22 juta - Tahunan: 240 juta - 2 tahun: 450 juta - 3 tahun: 650 juta Uang jaminan: 25 juta dapat dikembalikan di akhir masa sewa (dengan syarat dan ketentuan standar) Catatan: Internet kolam renang dan perawatan taman termasuk Listrik banjar dan sampah ditanggung penyewa WhatsApp: +62812xxxxxxxx,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/4427207/40a900e71b77ef723f1e12853a1b2cfd.jpg,https://www.rumah123.com/properti/badung-kerobokan-kelod/3bedroom-villa-for-rent-in-kerobokan-kelod-vlr202141/
For Rent Villa Ubud. Is In The Middle Of A Large Rice Field Quiet No Noise 10 Minutes From The Center Of Ubud Monkey Forest Ubud Gianyardikontrakkan Villa Rice Field View Sayan Ubud 10 Menutes From Mongkey Forest Center Ubud 4,Rp 21.000.000,month,Badung,2,3,250 m²,200 m²,SHM,Dikontrakkan villa Ubud For Rent Monthly @Pure dalem street number 15 villa rice field view Sayan Ubud Village 1 bedroom 1 bathroom IDR 7.500.000 For 1 month Furnished total 30 Day Total 30 Day in Month. free of charge house keeping. Villa position in the middle of the rice fields view far from neighbors Free Parking Not free stove n gas. Pay for electricity Gas mineral water yourself Refregerator 2 Air conditioner 2 Wastafel Kitchen set 2 bed Dining room Location: 10 menutes from Central Ubud 5 minutes from Westin resort Ubud 5 minutes Roster kafe 10 minutes to Green school 10 minutes to Pepito Sayan. 10 minutes to Cocomart. 5 minutes Windu Hospital. 40 menutes from Canggu Nyanyi beach.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1167265/2024-04-09-11-02-06-a8126018-83f6-484e-9857-2e6dc4fe9022.jpg,https://www.rumah123.com/properti/gianyar-ubud/for-rent-villa-ubud-is-in-the-middle-of-a-large-rice-field-quiet-no-noise-10-minutes-from-the-center-of-ubud-monkey-hor15929849/
